airportName,cityName,takeOffTime,landTime,latitude,longitude,runwayNum
JFK,New York City NY,60,60,40.639925,-73.778695,2
DEN,Denver CO,60,60,39.8616667,-104.6731667,2
SFO,San Francisco CA,60,60,37.6155109,-122.3916901,2
CLE,Cleveland OH,60,60,41.411667,-81.849722,3
MCO,Orlando FL,60,60,28.4293915,-81.30899459,4
KPHX,Phoenix AZ,60,60,33.43427785,-112.0115836,3
KMIA,Miami FL,60,60,25.79324976,-80.29055581,4
KMSY,New Orleans LA,60,60,29.993333,-90.258056,2
KDTW,Detroit MI,60,60,42.2125,-83.353333,6
KMCI,Kansas City MO,60,60,39.2975,-94.713889,3
KCLT,Charlotte NC,60,60,35.213889,-80.943056,4
KPIT,Pittsburgh PA,60,60,40.491389,-80.232778,4
KSEA,Seattle WA,60,60,47.448889,-122.309444,3
