airFlightNum,eventTime,eventPriority,eventType
UA10029,21600,1,0
UA10263,21600,1,0
UA10358,21600,1,0
UA10028,21660,1,0
UA10418,21660,1,0
UA10882,21660,1,0
UA11289,21660,1,0
UA11318,21660,1,0
UA10029,21660,1,1
UA10263,21660,1,1
UA10358,21660,1,1
UA10253,21720,1,0
UA10860,21720,1,0
UA11082,21720,1,0
UA11096,21720,1,0
UA10028,21720,1,1
UA10418,21720,1,1
UA10882,21720,1,1
UA11289,21720,1,1
UA11318,21720,1,1
UA10259,21780,1,0
UA10946,21780,1,0
UA10253,21780,1,1
UA10860,21780,1,1
UA11082,21780,1,1
UA11096,21780,1,1
UA10577,21840,1,0
UA10598,21840,1,0
UA10694,21840,1,0
UA10700,21840,1,0
UA10855,21840,1,0
UA10259,21840,1,1
UA10946,21840,1,1
UA10263,1758,1,2
UA10263,1818,1,3
UA10358,2298,1,2
UA10358,2358,1,3
UA20892,4067,1,2
UA20892,4127,1,3
UA20169,5801,1,2
UA20169,5861,1,3
UA11318,6396,1,2
UA11318,6456,1,3
UA21233,8286,1,2
UA21233,8346,1,3
UA10028,9461,1,2
UA10028,9521,1,3
UA20397,11423,1,2
UA20397,11483,1,3
UA21033,12109,1,2
UA21033,12169,1,3
UA10882,13998,1,2
UA10882,14058,1,3
UA20268,14738,10,2
UA20495,14755,10,2
UA20268,14798,1,3
UA20495,14815,1,3
UA11292,21900,1,0
UA11346,21900,1,0
UA10577,21900,1,1
UA10598,21900,1,1
UA10694,21900,1,1
UA10700,21900,1,1
UA10855,21900,1,1
UA10308,21960,1,0
UA10356,21960,1,0
UA10959,21960,1,0
UA11175,21960,1,0
UA11292,21960,1,1
UA11346,21960,1,1
UA10137,22020,1,0
UA10308,22020,1,1
UA10356,22020,1,1
UA10959,22020,1,1
UA11175,22020,1,1
UA10208,22080,1,0
UA10258,22080,1,0
UA10475,22080,1,0
UA10685,22080,1,0
UA10696,22080,1,0
UA10885,22080,1,0
UA10137,22080,1,1
UA10116,22140,1,0
UA10153,22140,1,0
UA10343,22140,1,0
UA10771,22140,1,0
UA10831,22140,1,0
UA10953,22140,1,0
UA10208,22140,1,1
UA10258,22140,1,1
UA10475,22140,1,1
UA10685,22140,1,1
UA10696,22140,1,1
UA10885,22140,1,1
UA20022,1038,1,2
UA20022,1098,1,3
UA10598,2243,1,2
UA10598,2303,1,3
UA10258,3682,1,2
UA10258,3742,1,3
UA20708,4030,1,2
UA20708,4090,1,3
UA10700,4181,1,2
UA10700,4241,1,3
UA21053,4500,1,2
UA21053,4560,1,3
UA20166,5189,1,2
UA20166,5249,1,3
UA10885,6004,1,2
UA10885,6064,1,3
UA10959,6396,1,2
UA10959,6456,1,3
UA20552,7023,1,2
UA20552,7083,1,3
UA20458,7150,1,2
UA20458,7210,1,3
UA20131,8664,1,2
UA20131,8724,1,3
UA10356,9070,1,2
UA10356,9130,1,3
UA10685,9550,1,2
UA10685,9610,1,3
UA20289,9661,1,2
UA20289,9721,1,3
UA10696,10865,1,2
UA10696,10925,1,3
UA20843,11567,1,2
UA20843,11627,1,3
UA21198,11686,1,2
UA21198,11746,1,3
UA11292,12004,1,2
UA11292,12064,1,3
UA10855,12301,1,2
UA10855,12361,1,3
UA20396,13655,1,2
UA20396,13715,1,3
UA10101,22200,1,0
UA10428,22200,1,0
UA10761,22200,1,0
UA11322,22200,1,0
UA10116,22200,1,1
UA10153,22200,1,1
UA10343,22200,1,1
UA10771,22200,1,1
UA10831,22200,1,1
UA10953,22200,1,1
UA10101,22201,1,0
UA10587,22260,1,0
UA10754,22260,1,0
UA11194,22260,1,0
UA10428,22260,1,1
UA10761,22260,1,1
UA11322,22260,1,1
UA10101,22261,1,1
UA10435,22320,1,0
UA11110,22320,1,0
UA10587,22320,1,1
UA10754,22320,1,1
UA11194,22320,1,1
UA10326,22380,1,0
UA11139,22380,1,0
UA10435,22380,1,1
UA11110,22380,1,1
UA10093,22440,1,0
UA10239,22440,1,0
UA10461,22440,1,0
UA10326,22440,1,1
UA11139,22440,1,1
UA11322,1427,1,2
UA11322,1487,1,3
UA10754,1710,1,2
UA10754,1770,1,3
UA20773,2029,1,2
UA20773,2089,1,3
UA10343,2239,1,2
UA10343,2299,1,3
UA10587,2615,1,2
UA10587,2675,1,3
UA10435,2859,1,2
UA10435,2919,1,3
UA10101,3223,1,2
UA10101,3283,1,3
UA11110,3368,1,2
UA11110,3428,1,3
UA20272,3505,1,2
UA20272,3565,1,3
UA21143,3631,1,2
UA21143,3691,1,3
UA11194,4195,1,2
UA11194,4255,1,3
UA10771,4392,1,2
UA10771,4452,1,3
UA10761,4998,1,2
UA10761,5058,1,3
UA10953,5312,1,2
UA10953,5372,1,3
UA10326,5773,1,2
UA10326,5833,1,3
UA20142,7868,1,2
UA20142,7928,1,3
UA20132,7977,1,2
UA20132,8037,1,3
UA10428,8383,1,2
UA10428,8443,1,3
UA20217,11907,1,2
UA20217,11967,1,3
UA10831,14528,10,2
UA10831,14588,1,3
UA10038,22500,1,0
UA10067,22500,1,0
UA10375,22500,1,0
UA10508,22500,1,0
UA10627,22500,1,0
UA10801,22500,1,0
UA10847,22500,1,0
UA11284,22500,1,0
UA10093,22500,1,1
UA10239,22500,1,1
UA10461,22500,1,1
UA10067,22501,1,0
UA10149,22560,1,0
UA10864,22560,1,0
UA10875,22560,1,0
UA11339,22560,1,0
UA10038,22560,1,1
UA10375,22560,1,1
UA10508,22560,1,1
UA10627,22560,1,1
UA10801,22560,1,1
UA10847,22560,1,1
UA11284,22560,1,1
UA10067,22561,1,1
UA10318,22620,1,0
UA10824,22620,1,0
UA10972,22620,1,0
UA11080,22620,1,0
UA10149,22620,1,1
UA10864,22620,1,1
UA10875,22620,1,1
UA11339,22620,1,1
UA10966,22680,1,0
UA10318,22680,1,1
UA10824,22680,1,1
UA10972,22680,1,1
UA11080,22680,1,1
UA10016,22740,1,0
UA10033,22740,1,0
UA10110,22740,1,0
UA10947,22740,1,0
UA11330,22740,1,0
UA10966,22740,1,1
UA10149,1194,1,2
UA10149,1254,1,3
UA10461,2014,1,2
UA20301,2018,1,2
UA10461,2074,1,3
UA20301,2078,1,3
UA20098,3274,1,2
UA20098,3334,1,3
UA20155,3783,1,2
UA20155,3843,1,3
UA21137,4299,1,2
UA21137,4359,1,3
UA20754,4675,1,2
UA20754,4735,1,3
UA20151,4941,1,2
UA10875,4998,1,2
UA20151,5001,1,3
UA10824,5022,1,2
UA10318,5040,1,2
UA10875,5058,1,3
UA10824,5082,1,3
UA10318,5083,1,2
UA10375,5116,1,2
UA10318,5143,1,3
UA10375,5176,1,3
UA20083,5721,1,2
UA10972,5730,1,2
UA20083,5781,1,3
UA10972,5790,1,3
UA20530,5808,1,2
UA20530,5868,1,3
UA20414,7477,1,2
UA20414,7537,1,3
UA10093,10571,1,2
UA10093,10631,1,3
UA10067,11105,1,2
UA10067,11165,1,3
UA11339,14313,10,2
UA10038,14528,10,2
UA10038,14588,1,3
UA20277,15047,10,2
UA20277,15107,1,3
UA10720,22800,1,0
UA10995,22800,1,0
UA10016,22800,1,1
UA10033,22800,1,1
UA10110,22800,1,1
UA10947,22800,1,1
UA11330,22800,1,1
UA11339,22801,10,2
UA10232,22860,1,0
UA10498,22860,1,0
UA10720,22860,1,1
UA10995,22860,1,1
UA11339,22861,1,3
UA10077,22920,1,0
UA10185,22920,1,0
UA10273,22920,1,0
UA10315,22920,1,0
UA10351,22920,1,0
UA10413,22920,1,0
UA10920,22920,1,0
UA10931,22920,1,0
UA11020,22920,1,0
UA11187,22920,1,0
UA11326,22920,1,0
UA11333,22920,1,0
UA10232,22920,1,1
UA10498,22920,1,1
UA10146,22980,1,0
UA10303,22980,1,0
UA10599,22980,1,0
UA11198,22980,1,0
UA11362,22980,1,0
UA10077,22980,1,1
UA10185,22980,1,1
UA10273,22980,1,1
UA10315,22980,1,1
UA10351,22980,1,1
UA10413,22980,1,1
UA10920,22980,1,1
UA10931,22980,1,1
UA11020,22980,1,1
UA11187,22980,1,1
UA11326,22980,1,1
UA11333,22980,1,1
UA11362,22981,1,0
UA10007,23040,1,0
UA10196,23040,1,0
UA10471,23040,1,0
UA10564,23040,1,0
UA10591,23040,1,0
UA10837,23040,1,0
UA10897,23040,1,0
UA11166,23040,1,0
UA11239,23040,1,0
UA10146,23040,1,1
UA10303,23040,1,1
UA10599,23040,1,1
UA11198,23040,1,1
UA11362,23041,1,1
UA10498,756,1,2
UA10498,816,1,3
UA10351,2191,1,2
UA10351,2251,1,3
UA11020,2625,1,2
UA10599,2681,1,2
UA11020,2685,1,3
UA10599,2741,1,3
UA10232,2879,1,2
UA20839,2938,1,2
UA10232,2939,1,3
UA20839,2998,1,3
UA11362,3181,1,2
UA11362,3241,1,3
UA10947,3319,1,2
UA10947,3379,1,3
UA11187,3510,1,2
UA11187,3570,1,3
UA20641,5036,1,2
UA20641,5096,1,3
UA10315,5294,1,2
UA10315,5354,1,3
UA10995,5730,1,2
UA10995,5790,1,3
UA20631,5949,1,2
UA20631,6009,1,3
UA20470,6255,1,2
UA20470,6315,1,3
UA20686,6687,1,2
UA20686,6747,1,3
UA20597,7385,1,2
UA20597,7445,1,3
UA10016,7587,1,2
UA10033,7587,1,2
UA10016,7647,1,3
UA10033,7647,1,3
UA21171,9694,1,2
UA21171,9754,1,3
UA21278,9927,1,2
UA21278,9987,1,3
UA11330,10041,1,2
UA11330,10101,1,3
UA10077,10766,1,2
UA10077,10826,1,3
UA20638,11634,1,2
UA20638,11694,1,3
UA10150,23100,1,0
UA10190,23100,1,0
UA10934,23100,1,0
UA10007,23100,1,1
UA10196,23100,1,1
UA10471,23100,1,1
UA10564,23100,1,1
UA10591,23100,1,1
UA10837,23100,1,1
UA10897,23100,1,1
UA11166,23100,1,1
UA11239,23100,1,1
UA10190,23101,1,0
UA10150,23160,1,1
UA10934,23160,1,1
UA10190,23161,1,1
UA10113,23220,1,0
UA10220,23220,1,0
UA10409,23220,1,0
UA10769,23220,1,0
UA10876,23220,1,0
UA10974,23220,1,0
UA11003,23220,1,0
UA11023,23220,1,0
UA11153,23220,1,0
UA10248,23280,1,0
UA10981,23280,1,0
UA11047,23280,1,0
UA11344,23280,1,0
UA11365,23280,1,0
UA10113,23280,1,1
UA10220,23280,1,1
UA10409,23280,1,1
UA10769,23280,1,1
UA10876,23280,1,1
UA10974,23280,1,1
UA11003,23280,1,1
UA11023,23280,1,1
UA11153,23280,1,1
UA10452,23340,1,0
UA10248,23340,1,1
UA10981,23340,1,1
UA11047,23340,1,1
UA11344,23340,1,1
UA11365,23340,1,1
UA10150,1845,1,2
UA10150,1905,1,3
UA10471,1973,1,2
UA10471,2033,1,3
UA20991,2187,1,2
UA20991,2247,1,3
UA11003,2499,1,2
UA11003,2559,1,3
UA11047,2696,1,2
UA11047,2756,1,3
UA11365,2876,1,2
UA11365,2936,1,3
UA21121,3077,1,2
UA21121,3137,1,3
UA21122,3236,1,2
UA21122,3296,1,3
UA10196,3552,1,2
UA10196,3612,1,3
UA20837,3672,1,2
UA10220,3682,1,2
UA20837,3732,1,3
UA10220,3742,1,3
UA20344,3763,1,2
UA20344,3823,1,3
UA11166,3898,1,2
UA11166,3958,1,3
UA11344,4398,1,2
UA11344,4458,1,3
UA10897,5818,1,2
UA10897,5878,1,3
UA20009,6010,1,2
UA20009,6070,1,3
UA10591,7020,1,2
UA10591,7080,1,3
UA10876,7341,1,2
UA20092,7398,1,2
UA10876,7401,1,3
UA20092,7458,1,3
UA11239,8472,1,2
UA11239,8532,1,3
UA20388,9145,1,2
UA20388,9205,1,3
UA10409,9935,1,2
UA10409,9995,1,3
UA20338,10406,1,2
UA20348,10406,1,2
UA20338,10466,1,3
UA20348,10466,1,3
UA10837,15261,10,2
UA10837,15321,1,3
UA20662,15583,10,2
UA20662,15643,1,3
UA10352,23400,1,0
UA10367,23400,1,0
UA10719,23400,1,0
UA11117,23400,1,0
UA11267,23400,1,0
UA10452,23400,1,1
UA10144,23460,1,0
UA10352,23460,1,1
UA10367,23460,1,1
UA10719,23460,1,1
UA11117,23460,1,1
UA11267,23460,1,1
UA10023,23520,1,0
UA10042,23520,1,0
UA10316,23520,1,0
UA10450,23520,1,0
UA11265,23520,1,0
UA10144,23520,1,1
UA10625,23580,1,0
UA10636,23580,1,0
UA10757,23580,1,0
UA10023,23580,1,1
UA10042,23580,1,1
UA10316,23580,1,1
UA10450,23580,1,1
UA11265,23580,1,1
UA10010,23640,1,0
UA10669,23640,1,0
UA10726,23640,1,0
UA10625,23640,1,1
UA10636,23640,1,1
UA10757,23640,1,1
UA10669,23641,1,0
UA10450,1973,1,2
UA10450,2033,1,3
UA20410,2367,1,2
UA20410,2427,1,3
UA21159,3678,1,2
UA21159,3738,1,3
UA10042,3931,1,2
UA11265,3931,1,2
UA10042,3991,1,3
UA11265,3991,1,3
UA20324,4282,1,2
UA20324,4342,1,3
UA11117,4520,1,2
UA11117,4580,1,3
UA20603,4794,1,2
UA20603,4854,1,3
UA20670,5247,1,2
UA20670,5307,1,3
UA10452,7367,1,2
UA10452,7427,1,3
UA20591,8418,1,2
UA20591,8478,1,3
UA10367,8830,1,2
UA10367,8890,1,3
UA10636,10865,1,2
UA10636,10925,1,3
UA20384,13435,1,2
UA20384,13495,1,3
UA20073,16224,10,2
UA20073,16284,1,3
UA10637,23700,1,0
UA10010,23700,1,1
UA10726,23700,1,1
UA10669,23701,1,1
UA10073,23760,1,0
UA10097,23760,1,0
UA10671,23760,1,0
UA10834,23760,1,0
UA10884,23760,1,0
UA10637,23760,1,1
UA10022,23820,1,0
UA10781,23820,1,0
UA11210,23820,1,0
UA11300,23820,1,0
UA10073,23820,1,1
UA10097,23820,1,1
UA10671,23820,1,1
UA10834,23820,1,1
UA10884,23820,1,1
UA10022,23821,1,0
UA10020,23880,1,0
UA11394,23880,1,0
UA10781,23880,1,1
UA11210,23880,1,1
UA11300,23880,1,1
UA10022,23881,1,1
UA10083,23940,1,0
UA10329,23940,1,0
UA10363,23940,1,0
UA10684,23940,1,0
UA10689,23940,1,0
UA10020,23940,1,1
UA11394,23940,1,1
UA10669,691,1,2
UA10669,751,1,3
UA20535,1752,1,2
UA20535,1812,1,3
UA20593,2163,1,2
UA20593,2223,1,3
UA21188,2295,1,2
UA21188,2355,1,3
UA10781,2356,1,2
UA10781,2416,1,3
UA11300,2876,1,2
UA11300,2936,1,3
UA21148,3814,1,2
UA21148,3874,1,3
UA20805,4179,1,2
